@relation _home_supun_Documents_wekafiles_Camel_case_final_cc_nocase

@attribute tokens string
@attribute klass {Non_Flakey,Flakey}

@data
'Cookie  de  get  Name  cookie  then  Return  Ninja  Constant  return  Cookie  get  Or  Die  assert  Equals  when  get  Cookie  result  get  Value  get  Max  Age  build  Results  test  Clear  Language  clear  Language  builder  ninja  Properties  lang  ok  NINJA_  TEST  Cookie    de  getName  cookie  thenReturn  NinjaConstant  returnCookie  getOrDie  assertEquals  when  getCookie  result  getValue  getMaxAge  build  Results  testClearLanguage  clearLanguage  builder  ninjaProperties  lang  ok  NINJA_TEST',Non_Flakey
'kills  add  Node  def  enters  j2  seven  f2  Workflow  Instance  get  Status  three  two  as  List  exits  assert  True  four  get  end  five  fails  six  f  one  abcde  start  j  assert  Equals  size  test  Wf  <worklfow-app/>  Arrays  job  test  Nested  Fork  kills  addNode  def  enters  j2  seven  f2  WorkflowInstance  getStatus  three  two  asList  exits  assertTrue  four  get  end  five  fails  six  f  one  abcde  start  j  assertEquals  size  testWf  <worklfow-app/>  Arrays  job  testNestedFork',Flakey
'The  server  shall  authorize  the  access   but  should  not  drop  a  new  cookie  expires  TOKEN_  MAX_  INACTIVE_  INTERVAL  new  Cookie  _test  Do  Filter  Authentication  Max  Inactive  Interval  TOKEN_  VALIDITY_  SEC  current  Time  Millis  authorized  max  Inactives  with  renewed  activity  interval  System  test  Token  With  Valid  Activity  Interval   The server shall authorize the access  but should not drop a new cookie  expires  TOKEN_MAX_INACTIVE_INTERVAL   newCookie  _testDoFilterAuthenticationMaxInactiveInterval  TOKEN_VALIDITY_SEC  currentTimeMillis   authorized  maxInactives   with renewed activity interval  System  testTokenWithValidActivityInterval',Non_Flakey
'call  test  Action  Start  Command  check  Coord  Action  mytoken  get  Time  add  Record  To  Action  Table  me  action  Id  myjob  -  COORD-  Action  Start  Command-  C@1  myapp  call  testActionStartCommand  checkCoordAction  mytoken  getTime  addRecordToActionTable  me  actionId  myjob  -COORD-ActionStartCommand-C@1  myapp',Flakey
'reason  adapter  Assert  assert  Null  check  Request  Support  assert  Request  Supported  reason  should  be  null  A  reason  this  request  is  not  supported.  reason  adapter  Assert  assertNull  checkRequestSupport  assertRequestSupported  reason should be null  A reason this request is not supported.',Non_Flakey
'add  Record  To  Coord  Job  Table  For  Waiting  coord-job-for-matd-relative.xml  get  Id  Date  Utils  parse  Date  Oozie  TZ  call  test  Action  Mater  For  Hcatalog  Relative  Path  Coordinator  Job  2009-03-06  T010:00  Z  2009-03-11  T10:00  Z  start  Time  end  Time  job  addRecordToCoordJobTableForWaiting  coord-job-for-matd-relative.xml  getId  DateUtils  parseDateOozieTZ  call  testActionMaterForHcatalogRelativePath  CoordinatorJob  2009-03-06T010:00Z  2009-03-11T10:00Z  startTime  endTime  job',Flakey
'fail  Assert  buffer  Index  Out  Of  Bounds  Exception  should  have  been  thrown  append  substring  stuff  substring  Trimmed  test  Substring  Index  Of  Out  Bound  fail  Assert  buffer  IndexOutOfBoundsException should have been thrown  append  substring  stuff  substringTrimmed  testSubstringIndexOfOutBound',Non_Flakey
'cluster  mtime  on  close  file  after  writing  stat  Before  Close  get  Modification  Time  (  conf  wait  Active  get  File  Status  ipc.client.connection.maxidletime  create  a  new  file  and  write  to  it  info  localhost  2s  Closed  file.  DFS  Config  Keys  datanode  Report  format  )  get  File  System  stm  set  Int  before  close  is  MAX_  IDLE_  TIME  num  Data  Nodes  parameter  initialization  file  Sys  get  Name  Node  Port  print  Datanode  Report  shutdown  date  Form  System  stat  After  Close  assert  True  mdate  After  Close  client  num  Datanodes  addr  close  /simple.dat  write  File  cleanup  File  e  replicas  test  Times  At  Close  mtime  Before  Close  assert  Equals  mtime  After  Close  after  close  is  build  mdate  Before  Close  Number  of  Datanodes  file1  Created  and  wrote  file  simple.dat  Datanode  Report  Type  cluster  mtime on    close file after writing  statBeforeClose  getModificationTime   (  conf  waitActive  getFileStatus  ipc.client.connection.maxidletime   create a new file and write to it  info  localhost   2s  Closed file.  DFSConfigKeys  datanodeReport  format  )  getFileSystem  stm  setInt   before close is   MAX_IDLE_TIME  numDataNodes   parameter initialization  fileSys  getNameNodePort  printDatanodeReport  shutdown  dateForm  System  statAfterClose  assertTrue  mdateAfterClose  client  numDatanodes  addr  close  /simple.dat  writeFile  cleanupFile  e  replicas  testTimesAtClose  mtimeBeforeClose  assertEquals  mtimeAfterClose   after close is   build  mdateBeforeClose  Number of Datanodes   file1  Created and wrote file simple.dat  DatanodeReportType',Flakey
'host5  host4  host7  host11  host6  host1  host3  somehost  host2  test  Hash  Code  someotherhost  host10  myhttp  Assert  assert  True  hash  Code  http  get  By  Address  Some  Host  host9  Inet  Address  host8  127.0.0.1  host5  host4  host7  host11  host6  host1  host3  somehost  host2  testHashCode  someotherhost  host10  myhttp  Assert  assertTrue  hashCode  http  getByAddress  SomeHost  host9  InetAddress  host8  127.0.0.1',Non_Flakey
'coordinator.xml  test  Submit  No  Username  set  <coordinator-app  name=\"  NAME\"  frequency=\"10\"  start=\"2009-02-01  T01:00  Z\"  end=\"2009-02-03  T23:59  Z\"  timezone=\"  UTC\"  conf  Exception  expected  if  user.name  is  not  set!  app  Path  </configuration>  </workflow>  </action>  </coordinator-app>  sc  call  write  To  File  Oozie  Client  fail  app  Xml  file://  get  Test  Case  Dir  UNIT_  TESTING  <action>  <workflow>  <app-path>hdfs:///tmp/workflows/</app-path>  <controls>  <timeout>10</timeout>  <concurrency>2</concurrency>  conf.set(  Oozie  Client.  USER_  NAME   get  Test  User());  File  xmlns=\"uri:oozie:coordinator:0.2\">  <execution>  LIFO</execution>  </controls>  <configuration>  <property>  <name>input  A</name>  <value>blah</value>  </property>  coordinator.xml  testSubmitNoUsername  set  <coordinator-app name=\"NAME\" frequency=\"10\" start=\"2009-02-01T01:00Z\" end=\"2009-02-03T23:59Z\" timezone=\"UTC\"   conf  Exception expected if user.name is not set!  appPath  </configuration> </workflow> </action> </coordinator-app>  sc  call  writeToFile  OozieClient  fail  appXml  file://  getTestCaseDir  UNIT_TESTING  <action> <workflow> <app-path>hdfs:///tmp/workflows/</app-path>   <controls> <timeout>10</timeout> <concurrency>2</concurrency>    conf.set(OozieClient.USER_NAME  getTestUser());  File  xmlns=\"uri:oozie:coordinator:0.2\">   <execution>LIFO</execution> </controls>   <configuration> <property> <name>inputA</name> <value>blah</value> </property>',Flakey
'get  Buffer  Size  test  FS  Output  Stream  Builder  create  File  get  Bytes  assert  Array  Equals  path  Assert  IO_  FILE_  BUFFER_  SIZE_  DEFAULT  get  Replication  get  Block  Size  read  Fully  get  Default  Replication  get  File  Status  buffer  write  get  Permission  Should  be  default  replication  factor  assert  That  get  Default  Block  Size  block  Size  input  get  Int  Test  set  0  to  replication   block  size  and  buffer  size  UTF8  file  Sys  Should  be  default  buffer  size  and  permission  Buffer  size  should  be  0  Replication  factor  should  be  0  Should  be  default  block  size  IO_  FILE_  BUFFER_  SIZE_  KEY  recursive  content  out  data  written.  stream  TEST_  ROOT_  DIR  Block  size  should  be  0  get  Len  builder  is  Zero  Fs  Permission  close  replication  get  Conf  e  content  Origin  Should  be  default  permission  The  data  be  read  should  equals  with  the  with  Fail  Message  test  Builder  build  Create  with  a  generic  type  of  create  File!  get  File  Default  is  Equal  To  open  buffer  Size  getBufferSize  testFSOutputStreamBuilder  createFile  getBytes  assertArrayEquals  path  Assert  IO_FILE_BUFFER_SIZE_DEFAULT  getReplication  getBlockSize  readFully  getDefaultReplication  getFileStatus  buffer  write  getPermission  Should be default replication factor  assertThat  getDefaultBlockSize  blockSize  input  getInt   Test set 0 to replication  block size and buffer size  UTF8  fileSys  Should be default buffer size   and permission  Buffer size should be 0  Replication factor should be 0  Should be default block size  IO_FILE_BUFFER_SIZE_KEY  recursive  content  out  data written.  stream  TEST_ROOT_DIR  Block size should be 0  getLen  builder  isZero  FsPermission  close  replication  getConf  e  contentOrigin  Should be default permission  The data be read should equals with the   withFailMessage  testBuilder  build  Create with a generic type of createFile!  getFileDefault  isEqualTo  open  bufferSize',Non_Flakey
'-start  END_  POINTS  Rest  Constants  IS_  SECURITY_  ENABLED  get  Context  URL  oozie  Url  Mock  Dag  Engine  Service  run  assert  Equals  test  Start  args  call  1  -oozie  size  assert  True  get  job  SERVLET_  CLASSES  run  Test  -start  END_POINTS  RestConstants  IS_SECURITY_ENABLED  getContextURL  oozieUrl  MockDagEngineService  run  assertEquals  testStart  args  call  1  -oozie  size  assertTrue  get  job  SERVLET_CLASSES  runTest',Flakey
'has  Field  Violation  then  Return  invoke  double  Param  double  Validation  Should  Work  when  param1  assert  True  context  create  verify  mock  Controller  validation  blah  get  Parameter  hasFieldViolation  thenReturn  invoke  doubleParam  doubleValidationShouldWork  when  param1  assertTrue  context  create  verify  mockController  validation  blah  getParameter',Non_Flakey
'timestamp2  Test  3  failed   but  relax.  Time  spent:  Something  wrong!  Test  4  got  Exception  with  maxmum  retries!  Something  wrong!  Test  2  got  Exception  with  maxmum  retries!  Test  4  succeeded!  Time  spent:  System  busy  Test  assert  True  Testing  DFS  Client  random  waiting  on  busy  blocks.  timestamp  info  Test  3  succeeded!  Time  spent:  time  Win  pass  sec.  LOG  threads  Test  2  succeeded!  Time  spent:  file  Len  test  DFS  Client  Retries  On  Busy  Blocks  retries  warn  current  Time  Millis  Test  1  failed   but  relax.  Time  spent:  Test  1  succeeded!  Time  spent:  xcievers  timestamp2  Test 3 failed  but relax. Time spent:   Something wrong! Test 4 got Exception with maxmum retries!  Something wrong! Test 2 got Exception with maxmum retries!  Test 4 succeeded! Time spent:   System  busyTest  assertTrue  Testing DFSClient random waiting on busy blocks.  timestamp  info  Test 3 succeeded! Time spent:      timeWin  pass   sec.  LOG  threads  Test 2 succeeded! Time spent:   fileLen  testDFSClientRetriesOnBusyBlocks  retries  warn  currentTimeMillis  Test 1 failed  but relax. Time spent:   Test 1 succeeded! Time spent:   xcievers',Flakey
'assert  False  context  prim  Boolean  Param  create  verify  has  Violations  invoke  prim  Boolean  Param  Should  Handle  Null  mock  Controller  validation  assertFalse  context  primBooleanParam  create  verify  hasViolations  invoke  primBooleanParamShouldHandleNull  mockController  validation',Non_Flakey
'get  Job  Tracker  Uri  root  Archive  root  So  so  File.so.1  create  Context  setup  Action  Conf  files  In  Cache  test  Lib  File  Archives  context  get  Path  create  jar  root  Jar  get  Cache  Files  <main-class>  CLASS</main-class>  <job-tracker>  e  Action  Xml  <file>  ae  </file>  parse  Xml  </job-tracker>  archive  get  File  System  archive  </name-node>  set  Lib  Files  Archives  found  in  classpath  so  File.so  root  So  File.so  not  found  in  cache  job  Conf  archive.tar  <archive>  <java>  assert  False  get  App  Path  app  Path  create  Base  Hadoop  Conf  action  Xml  root  So1  root  Jar.jar  file  found  so1  Distributed  Cache  assert  True  root  so  files  In  Classpath  close  get  Name  Node  Uri  get  File  Class  Paths  root  Archive.tar  c  </java>  Xml  Utils  root  So  File.so.1  to  Uri  archives  In  Cache  file  get  Symlink  not  found  in  classpath  p  </archive>  get  Cache  Archives  equals  root  File  to  String  <name-node>  get  Fs  Test  Case  Dir  jar.jar  getJobTrackerUri  rootArchive  rootSo  soFile.so.1  createContext  setupActionConf  filesInCache  testLibFileArchives  context  getPath  create  jar  rootJar  getCacheFiles        <main-class>CLASS</main-class>        <job-tracker>  eActionXml        <file>  ae  </file>    parseXml  </job-tracker>  archive  getFileSystem  archive   </name-node>  setLibFilesArchives   found in classpath  soFile.so  rootSoFile.so   not found in cache  jobConf  archive.tar        <archive>  <java>  assertFalse  getAppPath  appPath  createBaseHadoopConf  actionXml  rootSo1  rootJar.jar  file  found  so1  DistributedCache  assertTrue  root  so  filesInClasspath  close  getNameNodeUri  getFileClassPaths  rootArchive.tar  c  </java>  XmlUtils  rootSoFile.so.1  toUri  archivesInCache  file   getSymlink   not found in classpath  p  </archive>    getCacheArchives  equals  rootFile  toString        <name-node>  getFsTestCaseDir  jar.jar',Flakey
'server  Server  assert  False  check  Response  conf  run  Assert  client  get  Call  Retry  Count  Attach  a  listener  that  tracks  every  call  received  by  the  server.  addr  info  get  Call  Id  get  Retry  Count  rpc  Kind  start  rpc  Request  assert  Equals  create  Call  get  Connect  Address  call  caller  test  Call  Id  And  Retry  Net  Utils  Override  client  to  store  the  call  info  and  check  response  stop  header  server  Server  assertFalse  checkResponse  conf  run  Assert  client  getCallRetryCount   Attach a listener that tracks every call received by the server.  addr  info  getCallId  getRetryCount  rpcKind  start  rpcRequest  assertEquals  createCall  getConnectAddress  call  caller  testCallIdAndRetry  NetUtils   Override client to store the call info and check response  stop  header',Non_Flakey
'get  Alert  Percentage  WORKFLOW_  ACTION  get  Notification  Msg  get  Sla  Id  ua  Date  Utils  get  Parent  Sla  Id  get  Upstream  Apps  qc  bean  ee  ac  af  get  Parent  Client  Id  an  es  ap  et  get  Expected  End  get  Alert  Contact  get  Alert  Frequency  jd  get  Event_id  get  App  Type  nm  get  Job  Data  get  App  Type  Str  psi  get  User  get  Se  Contact  get  Expected  Start  get  Job  Status  Str  sc  assert  True  si  STARTED  pci  convert  Date  To  Timestamp  get  Status  Timestamp  get  Expected  End  TS  get  Qa  Contact  get  App  Name  st  set  gn  assert  Equals  get  Dev  Contact  test  Set  Get  get  Expected  Start  TS  get  Group  Name  get  Event  Type  u  get  Status  Timestamp  TS  dc  getAlertPercentage  WORKFLOW_ACTION  getNotificationMsg  getSlaId  ua  DateUtils  getParentSlaId  getUpstreamApps  qc  bean  ee  ac  af  getParentClientId  an  es  ap  et  getExpectedEnd  getAlertContact  getAlertFrequency  jd  getEvent_id  getAppType  nm  getJobData  getAppTypeStr  psi  getUser  getSeContact  getExpectedStart  getJobStatusStr  sc  assertTrue  si  STARTED  pci  convertDateToTimestamp  getStatusTimestamp  getExpectedEndTS  getQaContact  getAppName  st  set  gn  assertEquals  getDevContact  testSetGet  getExpectedStartTS  getGroupName  getEventType  u  getStatusTimestampTS  dc',Flakey
'do  Nothing  get  Name  get  Proxy  Could  not  connect  to  host  HA  Service  State  error  Throwing  Proxy  when  test  Failover  From  Non  Existant  Service  With  Fencer  not  on  creation  of  the  proxy.  verify  with  Settings  close  default  Answer  do  Failover  svc2  Common  Configuration  Keys  svc1  Addr  svc1  do  Return  Don\'t  check  svc1  because  we  can\'t  reach  it   but  that\'s  OK   it\'s  been  fenced.  assert  Equals  eq  any  Non-existant  active  prevented  failover  gracefully  used  the  right  rpc  timeout  any  Int  setup  Fencer  fail  Mockito  svc2  Addr  extra  Interfaces  mock  spy  doNothing  getName  getProxy  Could not connect to host  HAServiceState  errorThrowingProxy  when  testFailoverFromNonExistantServiceWithFencer   not on creation of the proxy.  verify  withSettings  close  defaultAnswer  doFailover  svc2  CommonConfigurationKeys  svc1Addr  svc1  doReturn   Don\'t check svc1 because we can\'t reach it  but that\'s OK  it\'s been fenced.  assertEquals  eq  any  Non-existant active prevented failover   gracefully used the right rpc timeout  anyInt  setupFencer  fail  Mockito  svc2Addr  extraInterfaces  mock  spy',Non_Flakey
'action  Num  Coordinator  Job  test  Coord  Action  Get  coord-action-get.xml  Coordinator  Action  get  Id  job  clean  Up  DB  Tables  add  Record  To  Coord  Action  Table  add  Record  To  Coord  Job  Table  _test  Get  Running  Actions  Count  actionNum  CoordinatorJob  testCoordActionGet  coord-action-get.xml  CoordinatorAction  getId  job  cleanUpDBTables  addRecordToCoordActionTable  addRecordToCoordJobTable  _testGetRunningActionsCount',Flakey
'filter  test  No  Remote  Host  1.1.1.1  test  Request  destroy  Http  Servlet  Response  init  Filter  filter  testNoRemoteHost  1.1.1.1  testRequest  destroy  HttpServletResponse  initFilter',Non_Flakey
'should_dsl_update_codec_counter  codec_count  session  Given  update  Eq  UUI  Ds  uuid  When  SELECT  codec_count  FROM  entity_complex_counters  WHERE  id  =  where  id  is  Not  Null  actual  counter  With  Codec_  Incr  Random  Utils  manager  one  time  Based  codec  Count  next  Long  assert  That  execute  AND  uuid  =  get  Long  Then  Long  from  Base  Table  counter  With  Codec  dsl  is  Equal  To    should_dsl_update_codec_counter  codec_count  session   Given  update  Eq  UUIDs  uuid   When  SELECT codec_count FROM entity_complex_counters WHERE id =   where  id  isNotNull  actual  counterWithCodec_Incr  RandomUtils  manager  one  timeBased  codecCount  nextLong  assertThat  execute   AND uuid =   getLong   Then  Long  fromBaseTable  counterWithCodec  dsl  isEqualTo',Flakey
'Content  transferred:  50000000  bytes  Failed  requests:  0  Document  Path:  /index.html  replace  Core  Matchers  equal  To  Result  Formatter  Server  Software:  Test  Server/1.1  Protocol  version:  HTTP/1.1  Total  transferred:  62640000  bytes  Transfer  rate:  17 997.02    Kbytes/sec  received  Assert  Requests  per  second:  5 884.08  #/sec  (mean)  test  Basics  Server  Port:  8080  Http  Version  results  localhost  Time  per  request:  0.170  ms  (mean   across  all  concurrent  requests)  Server  Hostname:  localhost  Standard  Charsets  Test  Server/1.1  Time  taken  for  tests:  3.399000  seconds  assert  That  buf  print  Concurrency  Level:  5  Complete  requests:  20000  to  Byte  Array  Kept  alive:  20000  name  Document  Length:  2924  bytes  /index.html  Time  per  request:  0.850  ms  (mean)  Content transferred:\t50000000 bytes    Failed requests:\t\t0    Document Path:\t\t\t/index.html    replace  CoreMatchers  equalTo  ResultFormatter      Server Software:\t\tTestServer/1.1    Protocol version:\t\tHTTP/1.1    Total transferred:\t\t62640000 bytes    Transfer rate:\t\t\t17 997.02 Kbytes/sec received    Assert  Requests per second:\t5 884.08 #/sec (mean)    testBasics  Server Port:\t\t\t8080    HttpVersion  results      localhost  Time per request:\t\t0.170 ms (mean  across all concurrent requests)    Server Hostname:\t\tlocalhost    StandardCharsets  TestServer/1.1  Time taken for tests:\t3.399000 seconds    assertThat  buf  print  Concurrency Level:\t\t5    Complete requests:\t\t20000    toByteArray  Kept alive:\t\t\t\t20000    name  Document Length:\t\t2924 bytes    /index.html  Time per request:\t\t0.850 ms (mean)',Non_Flakey
'play  A  server  read  Ascii  request  GET  /?query  HTTP/1.1  get  Host  Name  take  Request  http://b/4361656  assert  Equals  set  Body  get  Input  Stream  url  url  Contains  Query  But  No  Path  Integer  enqueue  get  Request  Line  get  Port  http  ?query  client  open  play  A  server  readAscii  request  GET /?query HTTP/1.1  getHostName  takeRequest   http://b/4361656  assertEquals  setBody  getInputStream  url  urlContainsQueryButNoPath  Integer  enqueue  getRequestLine  getPort  http  ?query  client  open',Flakey
